text,label
assalamu alaikum,0
wa alaikumussalam,0
udah lewat menit ni,0
wib,0
tribun tv mana ini kenapa acaranya belum dimulai ini wayang jogja night carnival,0
saya nonton apa ini tribun tv kenapa acara wayang tribun night carnival tak kunjung dimulai,0
kapan mulainya min pengen keburu nonton,0
assalamu alaikum,0
lama,0
ini nanti bakal live disini taa,0
mash nnt jam an hbs isya,0
la yang reog ponorogo tuh kok tulisannya jam ya,0
apa sebagian udah mulai,0
ngko aku tak melu ngebakki dalan beaming face with smiling eyes,0
sampai kapan min,0
nak irvan pindah ajh dr sebelah,0
selamat ulang tahun ke kota yogyakarta rahayu rahayu rahayu,0
nonton dari rumah jalah malas macet,0
reng ponorogo udah tampil belum ya teman,0
acara intinya nanti jam ya gaes ya,0
selamat ulang tahun jogjaku tercinta terimakasih sudah menjadi kota penuh kenangan,0
jogja memang istimewa,0
otw ke tugu,0
untung rumah ku deket loudly crying face,0
adzan,0
trimakasih tribun jogja saya bisa lihat gak desak dan gak harus ketugu,0
adzan boss adzan,0
kebagian paling depan loudly crying face,0
ak bakalan tunggu di sini buat liat wayang loudly crying face,0
beli jajan dulu laper smiling face with tear,0
adzan monggo solat rumiyen,0
parkirnya dimana ya gaes,0
harus y ad videotron biar bisa liat di jauhh,0
muleh wae mas nonton live tribun macet dan desak desakan,0
aq liat dri sini ja,0
infonya yg dilokasi grinning face with sweat,0
yg di lokasi pooolll rame ne,0
kapan diwiwiti,0
sukses wjnj,0
suwun infone mas wkwk,0
ini dimulai siaran livenya kapan,0
gasss biar tambah kebek grinning face with smiling eyes,0
kok blm mulai nie,0
yogyakarta istimewa,0
padahal wes mulai kawit jam mau,0
ini kapan mulainya,0
mana band nya dulu,0
kapan mulai nya ka,0
lagi persiapan,0
nanti habis isya,0
jam,0
assalamualaikum,0
waalaikumsalam,0
kangen jogja ga bisa nonton langsung,0
ayoooo gasken live,0
start habis isya,0
parkirny dmn nih,0
kangen ke jogja,0
klo mau parkir dmn,0
awas awas saytan,0
klo mau parkir dmn,0
pasukan turah turah kuota nonton live,0
klo mau parkir dmn,0
mobil atau montor,0
menyala jogja fire fire,0
jogja ku istimewa,0
sugeng ambal warsa kotaku jogja,0
kapan mulai nieh smiling face with hearts,0
mobil abubakar ali montor utara tugu jogja,0
mulai jam berapa,0
habis isya,0
jam brp mulainyaaaa,0
kemarin ulang tahun gunung kidul sekarang jogja diy memang istimewa,0
hbd jogja,0
selamat ulang tahu jogja aku semoga jogja semakin berubah semoga jogja tetap istimewa yogyakarta,0
jam kayaknya baru mulai band kalo di randown gitu,0
ada temenku disitu,0
face blue covering eyes,0
face blue smiling face blue smiling face blue smiling,0
selamat ulang tahun jogjanya indonesia,0
maghriban dulu gaess,0
kalian ikut lihat ga,0
kapan mulai bos,0
di tugu,0
mulai jam berapa,0
jam tapi pembukaan,0
halo,0
,0
blm mulai,0
udah,0
kalo ga salah,0
parkiran penuh,0
tadi cuma tari tari ya,0
macet jalan,0
oya,0
mulai jam,0
yang lihat siapa hayo,0
kalo di randown jam mulai,0
aku aisyah,0
met taun juga buat adeku,0
parkir,0
mahal bet,0
vip ribu,1
selamat hari jadi kota yogyakarta sukses selalu yogyakarta sukse semua buat warga jogja dan orang orang yang merantau di jogja love red heart red heart,0
siapa yang mau jadi temen i,0
biasa parkir motor kalau pas ada iven rb,0
serlok aisah,0
apanya,0
g adil,0
klo mau liat parkir di md,0
katanyaau di tmani,0
apa pke tiket skrg,0
tanya yg disana,0
jogja istimewa,0
d jual belikan,0
murahlah parkir ribu parkir motor m,0
sampe jam brp,0
mending nonton livestreaming nya aja dari pada liat langsung pada sempit sempitan ketutupan ga bisa liat semuanya males bayar parkir face with hand over mouth,0
masih bisa kah sampai sana,0
temen online di youtube bukan kesana face with hand over mouth,0
ada pesta kembang api nya lho,0
aku kelas empat,0
mending nonton livestream soalnya jalan ke jogja udah di penuh,0
woo tak kira di lokasi,0
gak bisa pulangg aduhh,0
aku kelas,0
maaf grinning squinting face,0
the most correct way to watch live streaming,0
darmo sanjaya kelas berapa,0
kelas bawah menengah,0
puncak acara masih sampai malam gak usah pulang face blue smiling,0
hah berapa itu,0
kalau pas malam minggu kemarin hari jadi gunungkidul,0
face blue smiling face blue smiling face blue smiling,0
gunung kidul kemarin,0
kamu cowo kan,0
mulai nya jam berapa ini,0
,0
hallo inggil,0
bang masih lama gak,0
tunggu aja,0
kamu cewe juga khan,0
wow,0
selamat hari jadi kota yogyakarta dari arsy adara kyrani putri hadiningrat sd muhammadiyah jogokariyan,0
ya lah nama gw aja aisyah,0
face purple crying face purple crying,0
darmo sanjaya kita mulai akur ya,0
jaya,0
katanya sih,0
aisyah,0
jam encore band,0
yang pasti kalau gunungkidul meriah pasti jogja semakin meriahhhhh,0
halo,0
maap kalo salah,0
tdi kok kaya dah mulai nari,0
ini masih lama ya,0
aku meh nonton tapi rarwti tempat parki e,0
kamu dipanggil siapa darmo sanjaya,0
parkir mcd,0
ah males ada kelas malam,0
parkir mcd paling wes kebak,0
aku ikut,0
pawai,0
hoo,0
ini masih lama ya,0
selamat ulang tahun kota yogyakarta yang ke partying face,0
sopo seng wong jowo,0
yuhuu,0
info parkir motor yg blm full,0
kamar tidur,0
nek ngegrab tekan bengi aku seng wedi wkwwk,0
aku,0
pgn nonton bali kerjo jam i pie,0
halo,0
eh salah maksudnya partying face,0
bukan ya,0
jam wes meh rampung ya ini wkwkw,0
aisyah aku di xt square jogja,0
bukann jam jam,0
sanjaya kamu kelas berapa aku blm ngerti socialdist,0
selamat ulang tahun jongja ke dari sd muhamadiyah suronatan dari yanas,0
oke,0
lah aq d xt square,0
berarti kamu smp,0
kaget ndengernya,0
gw masih bocil,0
masa,0
aku nga di ijin mama aku,0
xt kan custom fest motor,0
mulai y,0
ya adena,0
siapa yg tinggal di jogja di sini pengen ke sana tapi ga jadi karena ga ada yg nganter kalo sama kakak pada pergi sama temennya ke bioskop saya saya pensive face grinning face with sweat selamat ulang tahun jogja,0
bocil di larang coment,0
maaf nama aku aisyah humaira maaf kalo aku gj dari tadi smiling face with tear pensive face,0
mas aku ulang tahun hari ini,0
indah magelang nyimak,0
parkir arah barat rama sakti masih agak longgar,0
kamu ngelarang aku,0
wkwkw banyak bocil,0
wah beruntung yang ultah sekarang,0
apalah soksik,0
macet dari baratnya,0
wkwkwkkwk,0
yaudah aku keluar aja,0
woww partying face,0
selamat ultah yogyakarta tetap keren selamanya,0
penuh banget,0
tahun lalu kami disini skrg sudah beda kota folded hands two hearts jogjakarta di hati,0
di rayain yg ultah hari ini,0
ulang tahun di ucapin selamat jogja wkwkwkwkwkk,0
males aku sama kalian,0
jangan ya dek ya,0
apalah pipit nih,0
selamat ulang tahun kak untuk rafaellio grinning face with sweat,0
dek aisyah,0
aku ultah hari ini,0
arah barat macet,0
sama om aja dek sini person turqouise waving face blue smiling,0
inf yh msi longar,0
oke kak arif,0
selamat ulang tahun jogja associate k nyimak grinning face with sweat,0
dari arah timur padat blm yah,0
parkir di rama sakti longgar,0
om ku bukan tinggal di sini,0
kiw,0
makasih yang udah jawab bye,0
mas cinifal ledemas,0
okk,0
enak ya kalau ulang tahun berang jogja,0
saya jadi om yg disini aja face blue smiling face blue smiling,0
aku kalo kakak ku udh pulang jam nonton jam segitu masih bisa ora min,0
acara mulai jm brp,0
selamat ulang tahun jogja,0
sebenarnya aku kelas smk,0
ep,0
yaa mulai nyaa,0
jam tadi udah mulai,0
nuryani,0
aku le cah jogja ra iso nonton,0
selamat ulang tahun jogja yang ke,0
okei,0
lah kog naik nya cepet dek aisyah,0
nonton di rumah virtualhug virtualhug virtualhug,0
kebak nonton seko omah wae haha,0
salam kenal yang mau kenalan yg nga mau ya ngausah gpp smiling face with tear,0
jalur ordal om,0
ini dimana ya,0
apanya yg naik cepat,0
malbor atau tugu,0
rame ne,0
jogja,0
malioboro,0
padahal tugu deket bgt sm rumah tp ga kebagian tempat kayak tahun lalu,0
tak tinggal makan dulu nanti saya balik sini lagii,0
tugu,0
sabarr,0
ping,0
aku mau nonton tapi males,0
bukan malioboro di tugu jogja kalo ga salah eh ga tau ah,0
males rame bgt mending nonton live ini,0
jalan kak,0
tugu rame iki,0
ndek ndi lur,0
tugu,0
itu yang dapet didepan dari jam berapa yak,0
pengen nonton tapi punya baby,0
tugu,0
tugu itu karnaval nek ini video nya di malioboro klo gak salah,0
n m,0
masuknya pake tiket gak,0
info parkiran yang masih longgar,0
kak rafaellio tinggal di mana kalo aku kecamatan umbulharjo yogyakarta di kelurahan warung boto grinning face with sweat,0
macet enggak mas grinning face with sweat,0
ws full drgyo iki daerah tugu,0
sugeng ambal warso kutho ngayogyakarta,0
padahal rumah deket boplaz mau nonton ngga ada gelang jadi ngga bisa penuh poll,0
apa sudah full disana,0
rundown artise sopo wae lur,0
umbulharjo warungboto hadir hand pink waving,0
